GEOID,POP10,INTPTLAT,INTPTLONG
84001,725,40.346686,-110.27595600000001
84002,302,40.452048,-110.306744
84003,42384,40.47156,-111.680586
84004,9818,40.508238,-111.751659
84005,21410,40.325115999999994,-111.99653799999999
84006,826,40.601478,-112.11723700000002
84007,740,40.323702000000004,-110.207858
84010,44821,40.867942,-111.86784499999999
84013,1011,40.295924,-112.09446799999999
84014,15268,40.932087,-111.884033
84015,62494,41.120367,-112.06076000000002
84017,3556,40.929601,-111.224304
84018,179,41.215208000000004,-111.445654
84020,39765,40.500153999999995,-111.869576
84021,3323,40.108244,-110.53374199999999
84022,896,40.391646,-112.626718
84023,266,40.939026,-109.18953400000001
84024,63,41.007664,-111.447336
84025,18255,40.980801,-111.904831
84026,1668,40.282779999999995,-109.83777099999999
84027,452,40.153749,-110.820052
84028,824,41.928262,-111.417602
84029,9473,40.645952,-112.7377
84031,259,40.564876,-110.80856599999998
84032,17249,40.539413,-111.321274
84033,1032,40.985609000000004,-111.501145
84034,209,40.059081,-113.87808100000001
84035,748,40.366293,-109.199537
84036,6045,40.675892,-111.01570900000002
84037,33369,41.027177,-111.950728
84038,347,41.922699,-111.30621399999998
84039,1102,40.479556,-109.80381299999999
84040,23026,41.092343,-111.92806100000001
84041,44625,41.069915,-111.981254
84042,10094,40.340771999999994,-111.72451699999999
84043,49030,40.409121,-111.872684
84044,26524,40.72115,-112.16494499999999
84045,16875,40.336496000000004,-111.911198
84046,793,40.920945,-109.83068899999999
84047,28936,40.617184,-111.89506599999999
84049,4372,40.523647,-111.519703
84050,9290,41.022588,-111.67684799999999
84051,402,40.386804,-110.42320600000001
84052,1403,40.166546999999994,-109.99755800000001
84053,1115,40.454671999999995,-110.01015
84054,16196,40.838885999999995,-111.917281
84055,1406,40.708040999999994,-111.198457
84056,3310,41.129127000000004,-111.99193000000001
84057,36666,40.314277000000004,-111.710402
84058,30540,40.287743,-111.727923
84060,7596,40.652531,-111.501916
84061,391,40.752159999999996,-111.329532
84062,43269,40.441154,-111.67045
