GEOID,INTPTLAT,INTPTLONG
71001,32.591547,-92.889253
71003,32.629546,-93.030824
71004,32.748798,-93.859811
71006,32.722679,-93.630387
71007,32.362527,-94.006751
71008,32.346501,-92.967270
71016,32.224416,-93.116270
71018,32.823719,-93.426706
71019,32.048755,-93.316966
71021,32.967708,-93.446542
71023,32.476212,-93.410302
71024,32.498109,-93.201695
71027,32.253378,-93.640018
71028,32.497702,-93.075167
71029,32.837200,-93.841034
71030,32.195972,-93.784896
71031,32.002968,-92.904241
71032,32.094865,-93.795369
71033,32.412084,-94.010585
71034,32.181488,-93.311368
71037,32.474983,-93.487497
71038,32.951539,-93.062870
71039,32.430294,-93.289700
71040,32.772862,-93.023730
71043,32.886012,-93.887836
71044,32.954178,-93.882456
71045,32.331678,-93.184616
71046,32.163058,-93.948825
71047,32.289524,-93.914938
71048,32.838519,-92.845589
71049,32.009206,-93.966552
71051,32.319454,-93.477953
71052,32.003718,-93.663325
71055,32.677002,-93.293272
71060,32.654150,-93.980594
71061,32.778379,-93.955346
71063,31.911493,-93.515127
71064,32.913180,-93.679607
71065,31.800690,-93.504181
71067,32.598629,-93.503881
71068,32.278612,-93.310394
71069,32.967888,-93.987968
71070,32.101917,-93.012875
71071,32.921887,-93.456762
71072,32.937113,-93.311269
71073,32.520966,-93.311594
71075,32.994947,-93.509177
71078,32.256499,-93.781822
71079,32.933417,-92.810705
71082,32.832885,-93.964837
71101,32.506371,-93.747221
71103,32.491936,-93.772098
71104,32.483775,-93.731646
71105,32.456691,-93.709890
71106,32.378473,-93.730665
71107,32.595618,-93.859525
71108,32.443173,-93.787826
71109,32.467911,-93.813872
71110,32.504882,-93.596138
71111,32.573112,-93.699378
71112,32.444413,-93.633120
71115,32.268803,-93.579561
71118,32.393679,-93.804064
71119,32.490693,-93.925460
71129,32.386201,-93.913016
71201,32.532695,-92.105168
71202,32.399905,-92.056550
71203,32.582214,-92.018420
71209,32.528999,-92.069586
71219,32.325706,-91.693220
71220,32.864539,-91.908541
71222,32.827193,-92.657274
71223,32.888914,-91.654814
71225,32.512270,-92.338609
71226,32.250749,-92.437982
71227,32.536500,-92.478015
71229,32.631926,-91.896748
71232,32.405303,-91.466092
71233,32.325178,-90.932097
71234,32.645272,-92.330561
71235,32.692530,-92.674464
71237,32.597160,-91.494797
71238,32.363146,-92.375771
71241,32.779113,-92.353396
71243,31.954770,-91.810966
71245,32.534093,-92.725885
71247,32.273630,-92.722117
71250,32.954994,-91.583189
71251,32.220631,-92.676890
71253,32.991202,-91.309440
71254,32.796481,-91.253379
71256,32.949640,-92.721146
71259,32.271101,-91.848307
71260,32.907919,-92.234961
71261,32.772402,-91.698336
71263,32.873248,-91.425862
71264,32.601281,-91.772528
71266,32.694663,-91.504375
71268,32.346067,-92.737020
71269,32.440635,-91.793784
71270,32.494104,-92.642120
71272,32.526867,-92.649341
71275,32.511899,-92.816833
71276,32.570222,-91.147841
71277,32.943343,-92.550972
71279,32.487355,-91.857122
71280,32.723664,-92.091646
71282,32.358981,-91.181064
