GEOID,POP10
26003,43002
26030,516
26031,1755
26032,1243
26033,3044
26034,4905
26035,2491
26036,425
26037,6642
26038,2855
26039,1061
26040,2103
26041,16183
26047,6222
26050,1575
26055,1756
26056,93
26059,3082
26060,1881
26062,21801
26070,8441
26074,1184
26075,505
26101,29999
26104,16769
26105,12333
26133,1415
26134,888
26136,644
26137,939
26138,127
26141,364
26142,2574
26143,4547
26146,1003
26147,2188
26148,245
26149,2452
26150,6309
26151,558
26152,56
26155,8823
26159,2745
26160,960
26161,480
26164,8262
26167,865
26169,842
26170,6137
26175,3326
26178,587
26180,2284
26181,6127
26184,2361
26187,5982
26201,19701
26202,641
26203,198
26205,3690
26206,2976
26208,973
26209,112
26215,167
26217,354
26218,2583
26222,454
26224,221
26228,109
26230,124
26234,1454
26236,29
26237,571
26238,739
26241,14591
26250,5570
26253,3490
26254,303
26257,957
26259,176
26260,1377
26261,2701
26263,316
26264,642
26266,252
26267,369
26268,82
26269,1018
26270,755
26271,383
26273,2041
26275,744
26276,356
26278,591
26280,1710
26282,60
26283,1734
26285,304
26287,3131
26288,3603
26291,165
26292,836
26293,600
26294,729
26296,177
26298,96
26301,30435
26320,1000
26321,354
26323,602
26325,320
26327,83
26330,14377
26335,1378
26337,1218
26338,629
26339,255
26342,509
26343,445
26346,972
26347,2068
26348,196
26349,132
26351,5120
26354,11135
26361,263
26362,3378
26366,144
26369,762
26372,686
26374,1375
26376,463
26377,700
26378,3820
26384,520
26385,3872
26386,2411
26404,458
26405,1179
26408,2852
26410,1037
26411,707
26412,546
26415,4016
26416,7529
26419,1131
26421,262
26422,606
26424,318
26425,1216
26426,7003
26430,466
26431,5950
26435,98
26436,204
26437,645
26438,176
26440,1135
26443,258
26444,3639
26447,1055
26448,1421
26451,685
26452,9676
26456,3734
26501,19616
26505,38772
26508,29170
26519,1836
26520,778
26521,346
26525,7064
26534,789
26537,5721
26541,2624
26542,2547
26543,252
26547,2376
26554,41369
26559,1269
26560,227
26562,634
26563,381
26568,679
26570,3595
26571,1833
26572,136
26574,664
26575,827
26576,608
26581,1104
26582,5335
26585,479
26586,209
26587,432
26588,2611
26590,791
26591,1511
26601,4898
26610,1090
26611,224
26615,245
26617,187
26619,606
26621,757
26623,1189
26624,2950
26627,447
26629,309
26631,352
26636,487
26638,178
26651,9650
26656,401
26660,255
26662,1154
26676,435
26678,1247
26679,1896
26680,340
26681,1486
26684,116
26690,584
26691,417
26704,5663
26705,1077
26707,344
26710,2133
26711,2655
26714,482
26716,706
26717,1170
26719,2785
26720,174
26722,599
26726,13306
26731,382
26739,889
26743,1613
26750,891
26753,6254
26755,833
26757,6464
26761,685
26763,1540
26764,4220
26767,768
26801,1118
26802,1357
26804,709
26807,2947
26808,967
26810,329
26812,1705
26814,415
26815,646
26817,443
26818,709
26823,198
26833,2309
26836,6578
26845,898
26847,6277
26851,2180
26852,869
26855,826
26865,248
26866,929
26884,625
